"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 13:16:26 PKT 2024","Sun Oct 27 13:16:31 PKT 2024","5007","chromium","Ounass.spec.js","","","","Verify customer lands to credit card page after entering delivery address information",""
"passed","Sun Oct 27 13:16:20 PKT 2024","Sun Oct 27 13:16:26 PKT 2024","6505","chromium","Ounass.spec.js","","","","Verify delivery address information is entered successfully",""
"passed","Sun Oct 27 13:16:12 PKT 2024","Sun Oct 27 13:16:12 PKT 2024","49","chromium","Ounass.spec.js","","","","Verify Subtotal amount is correct after calculating prices of all products in bag",""
"passed","Sun Oct 27 13:15:45 PKT 2024","Sun Oct 27 13:15:45 PKT 2024","129","chromium","Ounass.spec.js","","","","Verify after logging into the account the “Email-Address” field is un-editable",""
"passed","Sun Oct 27 13:16:12 PKT 2024","Sun Oct 27 13:16:20 PKT 2024","7916","chromium","Ounass.spec.js","","","","Verify customer lands to delivery address page on clicking secure checkout button",""
"passed","Sun Oct 27 13:15:27 PKT 2024","Sun Oct 27 13:15:45 PKT 2024","17638","chromium","Ounass.spec.js","","","","Verify Account Registration Process and verify it is the same email with which you registered the account",""
"passed","Sun Oct 27 13:16:07 PKT 2024","Sun Oct 27 13:16:12 PKT 2024","4444","chromium","Ounass.spec.js","","","","Verify that exactly same items are added into the “Bag”.",""
"passed","Sun Oct 27 13:15:45 PKT 2024","Sun Oct 27 13:16:07 PKT 2024","21894","chromium","Ounass.spec.js","","","","Verifying Adding different kinds of items into the bags",""
